locationid,est_open_date,est_close_date
001,2017-01-01 00:00:00.000000,2024-09-01 00:00:00.000000
0016,2017-01-01 00:00:00.000000,2024-09-01 00:00:00.000000
0017,2017-01-01 00:00:00.000000,2021-08-01 00:00:00.000000
0018,2021-05-01 00:00:00.000000,2022-12-01 00:00:00.000000
002,2017-01-01 00:00:00.000000,2024-09-01 00:00:00.000000
0021,2017-06-01 00:00:00.000000,2024-09-01 00:00:00.000000
0024,2019-06-01 00:00:00.000000,2024-09-01 00:00:00.000000
003,2017-01-01 00:00:00.000000,2022-07-01 00:00:00.000000
0031,2017-01-01 00:00:00.000000,2022-07-01 00:00:00.000000
010,2017-01-01 00:00:00.000000,2024-09-01 00:00:00.000000
0100,2017-01-01 00:00:00.000000,2020-08-01 00:00:00.000000
0101,2021-06-01 00:00:00.000000,2024-06-01 00:00:00.000000
0103,2017-01-01 00:00:00.000000,2024-09-01 00:00:00.000000
0105,2017-02-01 00:00:00.000000,2024-09-01 00:00:00.000000
0107,2017-01-01 00:00:00.000000,2021-09-01 00:00:00.000000
0118,2021-04-01 00:00:00.000000,2024-09-01 00:00:00.000000
012,2017-01-01 00:00:00.000000,2024-05-01 00:00:00.000000
0124,2017-01-01 00:00:00.000000,2022-09-01 00:00:00.000000
0125,2019-09-01 00:00:00.000000,2024-09-01 00:00:00.000000
013,2019-04-01 00:00:00.000000,2022-12-01 00:00:00.000000
0134,2021-07-01 00:00:00.000000,2022-12-01 00:00:00.000000
014,2017-01-01 00:00:00.000000,2020-08-01 00:00:00.000000
0147,2017-01-01 00:00:00.000000,2020-08-01 00:00:00.000000
015,2017-01-01 00:00:00.000000,2024-03-01 00:00:00.000000
0155,2021-05-01 00:00:00.000000,2022-12-01 00:00:00.000000
016,2017-01-01 00:00:00.000000,2024-06-01 00:00:00.000000
0163,2019-05-01 00:00:00.000000,2024-08-01 00:00:00.000000
0164,2017-01-01 00:00:00.000000,2022-09-01 00:00:00.000000
017,2017-01-01 00:00:00.000000,2024-09-01 00:00:00.000000
0172,2017-01-01 00:00:00.000000,2024-02-01 00:00:00.000000
0175,2017-01-01 00:00:00.000000,2024-09-01 00:00:00.000000
018,2017-01-01 00:00:00.000000,2024-09-01 00:00:00.000000
0182,2017-01-01 00:00:00.000000,2024-09-01 00:00:00.000000
0186,2017-01-01 00:00:00.000000,2021-09-01 00:00:00.000000
019,2017-01-01 00:00:00.000000,2024-09-01 00:00:00.000000
0195,2017-01-01 00:00:00.000000,2024-09-01 00:00:00.000000
0199,2019-07-01 00:00:00.000000,2024-09-01 00:00:00.000000
020,2017-01-01 00:00:00.000000,2024-08-01 00:00:00.000000
0202,2017-01-01 00:00:00.000000,2020-08-01 00:00:00.000000
0208,2021-05-01 00:00:00.000000,2022-12-01 00:00:00.000000
0209,2019-05-01 00:00:00.000000,2024-08-01 00:00:00.000000
021,2019-07-01 00:00:00.000000,2024-09-01 00:00:00.000000
0217,2019-06-01 00:00:00.000000,2024-09-01 00:00:00.000000
0218,2019-07-01 00:00:00.000000,2023-03-01 00:00:00.000000
022,2017-01-01 00:00:00.000000,2024-07-01 00:00:00.000000
0227,2019-07-01 00:00:00.000000,2024-01-01 00:00:00.000000
0228,2017-01-01 00:00:00.000000,2020-08-01 00:00:00.000000
0229,2017-01-01 00:00:00.000000,2024-08-01 00:00:00.000000
023,2019-04-01 00:00:00.000000,2020-12-01 00:00:00.000000
0232,2019-04-01 00:00:00.000000,2020-12-01 00:00:00.000000
025,2017-01-01 00:00:00.000000,2024-08-01 00:00:00.000000
0251,2017-01-01 00:00:00.000000,2024-08-01 00:00:00.000000
0255,2021-06-01 00:00:00.000000,2022-12-01 00:00:00.000000
0257,2017-08-01 00:00:00.000000,2024-08-01 00:00:00.000000
027,2017-01-01 00:00:00.000000,2024-04-01 00:00:00.000000
0270,2017-01-01 00:00:00.000000,2021-09-01 00:00:00.000000
0272,2021-06-01 00:00:00.000000,2024-04-01 00:00:00.000000
0274,2017-01-01 00:00:00.000000,2024-02-01 00:00:00.000000
028,2017-01-01 00:00:00.000000,2022-12-01 00:00:00.000000
0282,2021-06-01 00:00:00.000000,2022-12-01 00:00:00.000000
029,2017-01-01 00:00:00.000000,2022-09-01 00:00:00.000000
0290,2021-02-01 00:00:00.000000,2021-12-01 00:00:00.000000
0291,2017-10-01 00:00:00.000000,2022-09-01 00:00:00.000000
03,2017-01-01 00:00:00.000000,2020-09-01 00:00:00.000000
030,2021-06-01 00:00:00.000000,2022-12-01 00:00:00.000000
0301,2021-06-01 00:00:00.000000,2022-12-01 00:00:00.000000
032,2017-01-01 00:00:00.000000,2024-09-01 00:00:00.000000
0320,2017-01-01 00:00:00.000000,2024-09-01 00:00:00.000000
033,2017-01-01 00:00:00.000000,2024-02-01 00:00:00.000000
0334,2017-01-01 00:00:00.000000,2024-02-01 00:00:00.000000
0339,2021-06-01 00:00:00.000000,2022-05-01 00:00:00.000000
034,2017-01-01 00:00:00.000000,2024-05-01 00:00:00.000000
0342,2017-01-01 00:00:00.000000,2020-08-01 00:00:00.000000
0344,2017-01-01 00:00:00.000000,2021-09-01 00:00:00.000000
0349,2019-09-01 00:00:00.000000,2024-09-01 00:00:00.000000
035,2017-01-01 00:00:00.000000,2021-08-01 00:00:00.000000
0351,2017-01-01 00:00:00.000000,2021-09-01 00:00:00.000000
036,2017-01-01 00:00:00.000000,2024-09-01 00:00:00.000000
0360,2019-08-01 00:00:00.000000,2024-09-01 00:00:00.000000
0361,2017-02-01 00:00:00.000000,2022-09-01 00:00:00.000000
0363,2019-08-01 00:00:00.000000,2024-09-01 00:00:00.000000
0364,2019-08-01 00:00:00.000000,2024-09-01 00:00:00.000000
0365,2019-08-01 00:00:00.000000,2024-04-01 00:00:00.000000
038,2017-01-01 00:00:00.000000,2023-08-01 00:00:00.000000
0382,2021-04-01 00:00:00.000000,2023-07-01 00:00:00.000000
0386,2018-07-01 00:00:00.000000,2022-09-01 00:00:00.000000
039,2017-01-01 00:00:00.000000,2022-12-01 00:00:00.000000
0390,2021-06-01 00:00:00.000000,2022-12-01 00:00:00.000000
055,2021-06-01 00:00:00.000000,2022-12-01 00:00:00.000000
0553,2021-06-01 00:00:00.000000,2022-12-01 00:00:00.000000
057,2021-12-01 00:00:00.000000,2024-09-01 00:00:00.000000
0579,2021-12-01 00:00:00.000000,2024-09-01 00:00:00.000000
067,2021-06-01 00:00:00.000000,2022-12-01 00:00:00.000000
0676,2021-06-01 00:00:00.000000,2022-12-01 00:00:00.000000
072,2017-01-01 00:00:00.000000,2024-09-01 00:00:00.000000
0726,2021-04-01 00:00:00.000000,2024-09-01 00:00:00.000000
10,2017-01-01 00:00:00.000000,2024-09-01 00:00:00.000000
1002,2018-07-01 00:00:00.000000,2024-09-01 00:00:00.000000
101,2017-01-01 00:00:00.000000,2024-07-01 00:00:00.000000
102,2017-01-01 00:00:00.000000,2024-09-01 00:00:00.000000
1021,2020-09-01 00:00:00.000000,2024-09-01 00:00:00.000000
1024,2020-08-01 00:00:00.000000,2024-09-01 00:00:00.000000
1025,2020-12-01 00:00:00.000000,2024-09-01 00:00:00.000000
103,2017-01-01 00:00:00.000000,2024-09-01 00:00:00.000000
1034,2017-02-01 00:00:00.000000,2024-09-01 00:00:00.000000
1035,2017-01-01 00:00:00.000000,2024-09-01 00:00:00.000000
1036,2017-01-01 00:00:00.000000,2024-09-01 00:00:00.000000
1037,2017-01-01 00:00:00.000000,2024-09-01 00:00:00.000000
1038,2017-01-01 00:00:00.000000,2024-09-01 00:00:00.000000
1039,2017-01-01 00:00:00.000000,2024-09-01 00:00:00.000000
104,2017-01-01 00:00:00.000000,2024-09-01 00:00:00.000000
1040,2017-01-01 00:00:00.000000,2024-09-01 00:00:00.000000
1041,2017-01-01 00:00:00.000000,2024-09-01 00:00:00.000000
1043,2017-10-01 00:00:00.000000,2024-09-01 00:00:00.000000
1044,2018-08-01 00:00:00.000000,2024-09-01 00:00:00.000000
1046,2018-09-01 00:00:00.000000,2023-07-01 00:00:00.000000
1047,2017-02-01 00:00:00.000000,2024-07-01 00:00:00.000000
1048,2018-09-01 00:00:00.000000,2024-09-01 00:00:00.000000
1049,2018-09-01 00:00:00.000000,2024-09-01 00:00:00.000000
105,2017-01-01 00:00:00.000000,2024-09-01 00:00:00.000000
1050,2017-02-01 00:00:00.000000,2024-09-01 00:00:00.000000
1051,2017-01-01 00:00:00.000000,2024-09-01 00:00:00.000000
1052,2017-03-01 00:00:00.000000,2024-09-01 00:00:00.000000
1053,2017-03-01 00:00:00.000000,2024-09-01 00:00:00.000000
1054,2017-03-01 00:00:00.000000,2024-09-01 00:00:00.000000
1055,2017-03-01 00:00:00.000000,2023-01-01 00:00:00.000000
1056,2017-03-01 00:00:00.000000,2024-09-01 00:00:00.000000
1057,2017-03-01 00:00:00.000000,2024-09-01 00:00:00.000000
1058,2017-03-01 00:00:00.000000,2024-09-01 00:00:00.000000
1059,2017-03-01 00:00:00.000000,2024-09-01 00:00:00.000000
106,2017-03-01 00:00:00.000000,2024-09-01 00:00:00.000000
1060,2017-03-01 00:00:00.000000,2024-09-01 00:00:00.000000
1061,2017-03-01 00:00:00.000000,2024-09-01 00:00:00.000000
1062,2017-03-01 00:00:00.000000,2024-09-01 00:00:00.000000
1063,2017-03-01 00:00:00.000000,2024-09-01 00:00:00.000000
1064,2017-03-01 00:00:00.000000,2024-09-01 00:00:00.000000
1065,2018-08-01 00:00:00.000000,2024-09-01 00:00:00.000000
1066,2017-03-01 00:00:00.000000,2024-09-01 00:00:00.000000
1067,2017-03-01 00:00:00.000000,2024-09-01 00:00:00.000000
1068,2017-03-01 00:00:00.000000,2024-09-01 00:00:00.000000
1069,2017-03-01 00:00:00.000000,2024-09-01 00:00:00.000000
107,2017-01-01 00:00:00.000000,2024-09-01 00:00:00.000000
1070,2017-03-01 00:00:00.000000,2024-09-01 00:00:00.000000
1071,2017-04-01 00:00:00.000000,2024-09-01 00:00:00.000000
1072,2018-08-01 00:00:00.000000,2024-09-01 00:00:00.000000
1077,2019-01-01 00:00:00.000000,2024-09-01 00:00:00.000000
1079,2019-03-01 00:00:00.000000,2024-09-01 00:00:00.000000
108,2017-01-01 00:00:00.000000,2023-05-01 00:00:00.000000
